ISO,Country,Phone Number Type,Phone Number Price / month,Inbound Voice Price / min,Inbound Trunking Price / min,Inbound SMS Price / msg,Inbound MMS Price / msg,Inbound Voice From Landline Price / min,Inbound Voice From Mobile Price / min,Inbound Trunking From Landline Price / min,Inbound Trunking From Mobile Price / min
AR,Argentina,Local,8.00,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
AR,Argentina,Toll Free,25.00,0.25820,0.25420,N/A,N/A,N/A,N/A,N/A,N/A
AT,Austria,Local,1.00,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
AT,Austria,Mobile,6.00,N/A,N/A,0.00750,N/A,N/A,N/A,N/A,N/A
AT,Austria,National,1.00,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
AT,Austria,Toll Free,25.00,0.24410,0.24010,N/A,N/A,0.21840,0.24410,0.21440,0.24010
AU,Australia,Local,3.00,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
AU,Australia,Mobile,6.50,0.01000,0.00600,0.00750,0.35000,N/A,N/A,N/A,N/A
AU,Australia,Toll Free,16.00,0.05000,0.04600,N/A,N/A,N/A,N/A,N/A,N/A
BB,Barbados,Local,27.00,0.02900,0.02500,N/A,N/A,N/A,N/A,N/A,N/A
BE,Belgium,Toll Free,25.00,0.32370,0.31970,N/A,N/A,0.06340,0.32370,0.05940,0.31970
BG,Bulgaria,Toll Free,110.00,0.20140,0.19740,N/A,N/A,N/A,N/A,N/A,N/A
BJ,Benin,Mobile,27.00,0.12900,0.12500,N/A,N/A,N/A,N/A,N/A,N/A
BR,Brazil,Local,4.25,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
CA,Canada,Local,1.15,0.00850,0.00450,0.00830,N/A,N/A,N/A,N/A,N/A
CA,Canada,Toll Free,2.15,0.02200,0.01300,0.00830,N/A,N/A,N/A,N/A,N/A
CH,Switzerland,Local,1.15,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
CL,Chile,Local,7.00,0.01000,0.00600,0.02000,N/A,N/A,N/A,N/A,N/A
CO,Colombia,Local,14.00,0.09450,0.09050,N/A,N/A,N/A,N/A,N/A,N/A
CO,Colombia,Toll Free,25.00,0.17920,0.17520,N/A,N/A,N/A,N/A,N/A,N/A
CZ,Czech Republic,Local,1.50,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
CZ,Czech Republic,Mobile,12.00,N/A,N/A,0.00750,N/A,N/A,N/A,N/A,N/A
CZ,Czech Republic,National,1.50,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
CZ,Czech Republic,Toll Free,35.00,0.31730,0.31330,N/A,N/A,0.12810,0.31730,0.12410,0.31330
DE,Germany,Local,1.15,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
DE,Germany,Mobile,15.00,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
DK,Denmark,Mobile,15.00,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
DZ,Algeria,Local,33.00,0.22400,0.22000,N/A,N/A,N/A,N/A,N/A,N/A
EC,Ecuador,Local,34.00,0.01000,0.00600,N/A,N/A,N/A,N/A,N/A,N/A
EE,Estonia,Local,1.00,0.01150,0.00750,N/A,N/A,N/A,N/A,N/A,N/A
EE,Estonia,Mobile,3.00,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
EE,Estonia,National,1.00,0.01150,0.00750,N/A,N/A,N/A,N/A,N/A,N/A
EE,Estonia,Toll Free,38.00,0.49000,0.48600,N/A,N/A,N/A,N/A,N/A,N/A
FI,Finland,Mobile,5.00,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
FI,Finland,Toll Free,40.00,0.29100,0.28700,N/A,N/A,0.18880,0.29100,0.18480,0.28700
GB,Jersey,Mobile,1.15,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
GB,United Kingdom,Local,1.15,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
GB,United Kingdom,Mobile,1.15,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
GB,United Kingdom,National,1.15,0.01000,0.00600,0.00750,N/A,N/A,N/A,N/A,N/A
GB,United Kingdom,Toll Free,2.15,0.06400,0.06000,N/A,N/A,0.05250,0.06400,0.04850,0.06000
